seqnames	start	end	width	strand	Median
1	850001	900000	50000	*	NA
1	900001	950000	50000	*	-0.097306672352162
1	950001	1000000	50000	*	NA
1	1000001	1050000	50000	*	-0.100156753179226
1	1050001	1100000	50000	*	NA
1	1100001	1150000	50000	*	-0.0541293660384122
1	1150001	1200000	50000	*	-0.000994185172725844
1	1200001	1250000	50000	*	NA
1	1250001	1300000	50000	*	NA
1	1300001	1350000	50000	*	0.184698155558817
1	1350001	1400000	50000	*	0.0439730769965685
1	1450001	1500000	50000	*	0.0577564056263282
1	1500001	1550000	50000	*	0.122798047416501
1	1700001	1750000	50000	*	0.103197583624362
1	1750001	1800000	50000	*	0.00569206833222035
1	1800001	1850000	50000	*	0.0254073632113966
1	1850001	1900000	50000	*	-0.00441870106606441
1	1900001	1950000	50000	*	0.094314176454864
1	1950001	2000000	50000	*	0.13356406167554
1	2000001	2050000	50000	*	0.0460151713858471
1	2050001	2100000	50000	*	0.0595519358753823
1	2100001	2150000	50000	*	0.160692978924549
1	2150001	2200000	50000	*	0.0534260655032092
1	2200001	2250000	50000	*	0.00378522638686543
1	2250001	2300000	50000	*	-0.00825869268687242
1	2300001	2350000	50000	*	0.173070654316425
1	2350001	2400000	50000	*	NA
1	2400001	2450000	50000	*	NA
1	2450001	2500000	50000	*	NA
1	2500001	2550000	50000	*	0.0339662828812062
1	2700001	2750000	50000	*	0.0586845435190339
1	2750001	2800000	50000	*	0.0487753285522021
1	2800001	2850000	50000	*	0.142795249262697
1	2850001	2900000	50000	*	0.058028766363171
1	2900001	2950000	50000	*	-0.00739082125995206
1	2950001	3000000	50000	*	0.0934553492075141
1	3000001	3050000	50000	*	0.18408253603825
1	3050001	3100000	50000	*	0.0686404977900711
1	3100001	3150000	50000	*	0.210594225295769
1	3150001	3200000	50000	*	0.0782318292035727
1	3200001	3250000	50000	*	0.0777721591614141
1	3250001	3300000	50000	*	0.0748181405808601
1	3300001	3350000	50000	*	0.186471762981048
1	3350001	3400000	50000	*	0.000219723242814632
1	3400001	3450000	50000	*	0.11448522987491
1	3450001	3500000	50000	*	0.0644861806300969
1	3500001	3550000	50000	*	0.0624955771995657
1	3550001	3600000	50000	*	0.0233586543731517
1	3600001	3650000	50000	*	NA
1	3650001	3700000	50000	*	0.146184822175812
1	3700001	3750000	50000	*	0.120852224069822
1	3750001	3800000	50000	*	0.189602120702246
1	4000001	4050000	50000	*	-0.0512947729251004
1	4050001	4100000	50000	*	0.0354685685750748
1	4100001	4150000	50000	*	-0.241038110091084
1	4150001	4200000	50000	*	-0.0132130099316609
1	4200001	4250000	50000	*	-0.165677848442287
1	4250001	4300000	50000	*	-0.19810520348894
1	4300001	4350000	50000	*	-0.266187831873392
1	4350001	4400000	50000	*	-0.165665565969874
1	4400001	4450000	50000	*	-0.269942168593036
1	4450001	4500000	50000	*	-0.0213621056973198
1	4500001	4550000	50000	*	0.0373991418225077
1	4550001	4600000	50000	*	-0.175010369060334
1	4600001	4650000	50000	*	-0.038983402180708
1	4650001	4700000	50000	*	0.103679887972066
1	4700001	4750000	50000	*	0.0338430729990282
1	4750001	4800000	50000	*	0.0211055673405314
1	4800001	4850000	50000	*	-0.0770804898151665
1	4850001	4900000	50000	*	-0.156695528560451
1	4900001	4950000	50000	*	-0.224618526471752
1	4950001	5000000	50000	*	-0.113492908647471
1	5000001	5050000	50000	*	-0.139706035888907
1	5050001	5100000	50000	*	-0.209741860835228
1	5100001	5150000	50000	*	-0.0545643451684524
1	5150001	5200000	50000	*	-0.0572305680935412
1	5200001	5250000	50000	*	-0.229648564650221
1	5250001	5300000	50000	*	-0.217074763764249
1	5300001	5350000	50000	*	-0.209918598685681
1	5350001	5400000	50000	*	-0.0503237814940086
1	5400001	5450000	50000	*	-0.134558491591598
1	5450001	5500000	50000	*	-0.143420566565324
1	5500001	5550000	50000	*	-0.0540693887742888
1	5550001	5600000	50000	*	-0.000196418400180498
1	5600001	5650000	50000	*	-0.16689142435293
1	5650001	5700000	50000	*	0.00591345132429843
1	5700001	5750000	50000	*	0.164036519640734
1	5750001	5800000	50000	*	-0.014458210402321
1	5800001	5850000	50000	*	-0.0325226292836535
1	5850001	5900000	50000	*	-0.00138246125061787
1	5900001	5950000	50000	*	0.158426846820297
1	5950001	6000000	50000	*	0.115539979987882
1	6000001	6050000	50000	*	0.0965085689376485
1	6050001	6100000	50000	*	0.0408658222528278
1	6100001	6150000	50000	*	0.106129632800032
1	6150001	6200000	50000	*	-0.00462903960211294
1	6200001	6250000	50000	*	0.039786182759444
1	6250001	6300000	50000	*	0.0800909488597231
1	6300001	6350000	50000	*	0.076522913220523
1	6350001	6400000	50000	*	0.0456419827610017
1	6400001	6450000	50000	*	0.207726362210051
1	6450001	6500000	50000	*	-0.0268866478391781
1	6500001	6550000	50000	*	0.0466028898845806
1	6550001	6600000	50000	*	-0.049659362752931
1	6600001	6650000	50000	*	0.0646263812094965
1	6650001	6700000	50000	*	0.125095800680518
1	6700001	6750000	50000	*	-0.091924135553766
1	6750001	6800000	50000	*	0.0475523583303612
1	6800001	6850000	50000	*	0.00805440696200223
1	6850001	6900000	50000	*	0.09278154421361
1	6900001	6950000	50000	*	-0.00530988209970214
1	6950001	7000000	50000	*	-0.0402209117916561
1	7000001	7050000	50000	*	-0.0738305184007452
1	7050001	7100000	50000	*	0.0303681917570225
1	7100001	7150000	50000	*	-0.0289376249926316
1	7150001	7200000	50000	*	-0.123267086484433
1	7200001	7250000	50000	*	0.00583058546948627
1	7250001	7300000	50000	*	-0.111680566214388
1	7300001	7350000	50000	*	-0.0731002420242175
1	7350001	7400000	50000	*	0.0921913447722707
1	7400001	7450000	50000	*	-0.16469463346156
1	7500001	7550000	50000	*	0.121452197993235
1	7550001	7600000	50000	*	-0.0688216691544264
1	7600001	7650000	50000	*	-0.0548433778980592
1	7700001	7750000	50000	*	0.129169029856485
1	7750001	7800000	50000	*	0.0130745334469272
1	7800001	7850000	50000	*	0.283009367997541
1	7850001	7900000	50000	*	0.190727194082464
1	7900001	7950000	50000	*	0.0145698887312757
1	7950001	8000000	50000	*	0.0266434305589308
1	8000001	8050000	50000	*	0.0568061053265166
1	8050001	8100000	50000	*	-0.0286600975795848
1	8100001	8150000	50000	*	-0.00946071770759234
1	8150001	8200000	50000	*	-0.14464993842723
1	8200001	8250000	50000	*	-0.0863229737111356
1	8250001	8300000	50000	*	0.0197074404072438
1	8300001	8350000	50000	*	-0.0173872523152001
1	8350001	8400000	50000	*	0.0543081224639493
1	8400001	8450000	50000	*	0.127987271210788
1	8450001	8500000	50000	*	0.0996073880901264
1	8500001	8550000	50000	*	0.11668469674184
1	8550001	8600000	50000	*	0.0780601898367793
1	8600001	8650000	50000	*	0.0415203826767268
1	8650001	8700000	50000	*	-0.163138123107695
1	8700001	8750000	50000	*	0.0854453122586918
1	8750001	8800000	50000	*	0.209006170598669
1	8800001	8850000	50000	*	-0.0181830737698777
1	8850001	8900000	50000	*	0.0298840648964496
1	8900001	8950000	50000	*	0.0749539751583136
1	8950001	9000000	50000	*	-0.0350953407896919
1	9000001	9050000	50000	*	0.0178452263177082
1	9050001	9100000	50000	*	0.00939993768279017
1	9100001	9150000	50000	*	-0.0195779626770754
1	9150001	9200000	50000	*	-0.031955682120067
1	9200001	9250000	50000	*	0.075291143247507
1	9250001	9300000	50000	*	-0.0405070425126926
1	9300001	9350000	50000	*	0.111842345594462
1	9350001	9400000	50000	*	0.00227272818507549
1	9400001	9450000	50000	*	-0.0653645127928311
1	9450001	9500000	50000	*	-0.0366419200403921
1	9500001	9550000	50000	*	-0.0667063629142005
1	9550001	9600000	50000	*	0.0117046950168563
1	9600001	9650000	50000	*	0.0377762473550967
1	9650001	9700000	50000	*	-0.0175633844711613
1	9700001	9750000	50000	*	-0.00760272465663409
1	9750001	9800000	50000	*	0.00928669767379387
1	9800001	9850000	50000	*	0.046410945994355
1	9850001	9900000	50000	*	0.0158307429547855
1	9900001	9950000	50000	*	0.0879723520266394
1	9950001	10000000	50000	*	0.137947908256586
1	10000001	10050000	50000	*	-0.0533249938015035
1	10050001	10100000	50000	*	0.162138893354576
1	10100001	10150000	50000	*	-0.113562890026656
1	10150001	10200000	50000	*	-0.0510378841612165
1	10200001	10250000	50000	*	0.0330052457884422
1	10250001	10300000	50000	*	0.131922151994194
1	10300001	10350000	50000	*	0.0887830675496934
1	10350001	10400000	50000	*	0.0507142860187662
1	10400001	10450000	50000	*	0.0470920020234541
1	10450001	10500000	50000	*	0.0217270378650116
