seqnames	start	end	width	strand	Median
1	850001	900000	50000	*	NA
1	900001	950000	50000	*	0.139608351049213
1	950001	1000000	50000	*	NA
1	1000001	1050000	50000	*	0.0208588045226817
1	1050001	1100000	50000	*	NA
1	1100001	1150000	50000	*	0.0448225229674549
1	1150001	1200000	50000	*	0.192801338595781
1	1200001	1250000	50000	*	NA
1	1250001	1300000	50000	*	NA
1	1300001	1350000	50000	*	0.220233811444501
1	1350001	1400000	50000	*	0.124119004492326
1	1450001	1500000	50000	*	0.0877692794517667
1	1500001	1550000	50000	*	0.238103184417769
1	1700001	1750000	50000	*	-0.0189187561121882
1	1750001	1800000	50000	*	-0.0284930510806503
1	1800001	1850000	50000	*	0.0954247117355037
1	1850001	1900000	50000	*	0.0901656295782394
1	1900001	1950000	50000	*	0.0221076087173292
1	1950001	2000000	50000	*	0.0763401805025325
1	2000001	2050000	50000	*	0.0352096006880538
1	2050001	2100000	50000	*	-0.0126956727928272
1	2100001	2150000	50000	*	0.134789572104529
1	2150001	2200000	50000	*	0.0480535828706479
1	2200001	2250000	50000	*	0.000364081819597174
1	2250001	2300000	50000	*	0.0943799330655719
1	2300001	2350000	50000	*	0.125407752840747
1	2350001	2400000	50000	*	NA
1	2400001	2450000	50000	*	NA
1	2450001	2500000	50000	*	NA
1	2500001	2550000	50000	*	0.0255541992189473
1	2700001	2750000	50000	*	0.0236194598347208
1	2750001	2800000	50000	*	-0.0323624161239418
1	2800001	2850000	50000	*	0.120540840143568
1	2850001	2900000	50000	*	-0.0642365983071869
1	2900001	2950000	50000	*	0.0425077901904854
1	2950001	3000000	50000	*	0.0104593289183861
1	3000001	3050000	50000	*	0.208860732381481
1	3050001	3100000	50000	*	0.0189920920605743
1	3100001	3150000	50000	*	0.114905763313542
1	3150001	3200000	50000	*	0.115572825408771
1	3200001	3250000	50000	*	-0.0079261147134369
1	3250001	3300000	50000	*	-0.0828489930152942
1	3300001	3350000	50000	*	0.200604288374202
1	3350001	3400000	50000	*	0.0338946726359301
1	3400001	3450000	50000	*	0.121814032492335
1	3450001	3500000	50000	*	0.00255535343066284
1	3500001	3550000	50000	*	0.10390748774317
1	3550001	3600000	50000	*	0.11041509648933
1	3600001	3650000	50000	*	NA
1	3650001	3700000	50000	*	0.0418723852893796
1	3700001	3750000	50000	*	0.0663765555187492
1	3750001	3800000	50000	*	0.0839503509610288
1	4000001	4050000	50000	*	-0.0978598951940605
1	4050001	4100000	50000	*	-0.0241763219464363
1	4100001	4150000	50000	*	-0.18693657687789
1	4150001	4200000	50000	*	-0.072565478381752
1	4200001	4250000	50000	*	-0.248886516458771
1	4250001	4300000	50000	*	-0.277533067333564
1	4300001	4350000	50000	*	-0.390116907740963
1	4350001	4400000	50000	*	-0.234157443321819
1	4400001	4450000	50000	*	-0.297168868209258
1	4450001	4500000	50000	*	-0.0562261239602237
1	4500001	4550000	50000	*	-0.138348663991553
1	4550001	4600000	50000	*	-0.0167755978007493
1	4600001	4650000	50000	*	-0.0369839589064749
1	4650001	4700000	50000	*	0.0288900271800833
1	4700001	4750000	50000	*	0.101865421449933
1	4750001	4800000	50000	*	0.0408261697357545
1	4800001	4850000	50000	*	0.0757961996230558
1	4850001	4900000	50000	*	-0.206434824397165
1	4900001	4950000	50000	*	-0.263848624304322
1	4950001	5000000	50000	*	-0.142860655791256
1	5000001	5050000	50000	*	-0.196270919934397
1	5050001	5100000	50000	*	-0.185633109984929
1	5100001	5150000	50000	*	-0.0292272694087288
1	5150001	5200000	50000	*	-0.0419233614075204
1	5200001	5250000	50000	*	-0.273296557726703
1	5250001	5300000	50000	*	-0.225265133728765
1	5300001	5350000	50000	*	-0.187587046455212
1	5350001	5400000	50000	*	-0.177493060872121
1	5400001	5450000	50000	*	-0.187355233250384
1	5450001	5500000	50000	*	-0.201075697634855
1	5500001	5550000	50000	*	-0.0882440920960037
1	5550001	5600000	50000	*	0.0165072162928821
1	5600001	5650000	50000	*	-0.21039358680739
1	5650001	5700000	50000	*	-0.112038957116452
1	5700001	5750000	50000	*	0.119804427352413
1	5750001	5800000	50000	*	-0.0404577913961951
1	5800001	5850000	50000	*	-0.0907920836202946
1	5850001	5900000	50000	*	0.0125504333784372
1	5900001	5950000	50000	*	0.0735280002817807
1	5950001	6000000	50000	*	0.102276291301901
1	6000001	6050000	50000	*	0.130538858189692
1	6050001	6100000	50000	*	-0.0947824470285745
