seqnames	start	end	width	strand	Median
1	850001	900000	50000	*	NA
1	900001	950000	50000	*	0.290590578274229
1	950001	1000000	50000	*	NA
1	1000001	1050000	50000	*	-0.0506607361713236
1	1050001	1100000	50000	*	NA
1	1100001	1150000	50000	*	-0.281174209907718
1	1150001	1200000	50000	*	-0.0594190949090446
1	1200001	1250000	50000	*	NA
1	1250001	1300000	50000	*	NA
1	1300001	1350000	50000	*	0.367286278594949
1	1350001	1400000	50000	*	0.261242740923314
1	1450001	1500000	50000	*	0.0405384451713836
1	1500001	1550000	50000	*	0.176577801159368
1	1700001	1750000	50000	*	0.245239620368349
1	1750001	1800000	50000	*	0.306992041432935
1	1800001	1850000	50000	*	0.244420136179011
1	1850001	1900000	50000	*	-0.111075160626249
1	1900001	1950000	50000	*	-0.0750610046639476
1	1950001	2000000	50000	*	-0.18086197127661
1	2000001	2050000	50000	*	-0.531281755204098
1	2050001	2100000	50000	*	0.138473255206486
1	2100001	2150000	50000	*	0.561559983202979
1	2150001	2200000	50000	*	0.326624096807608
1	2200001	2250000	50000	*	0.29000294857757
1	2250001	2300000	50000	*	0.0562850422931508
1	2300001	2350000	50000	*	0.267804921185009
1	2350001	2400000	50000	*	NA
1	2400001	2450000	50000	*	NA
1	2450001	2500000	50000	*	NA
1	2500001	2550000	50000	*	-0.219041833665503
1	2700001	2750000	50000	*	-0.667411716174209
1	2750001	2800000	50000	*	-0.783181726532405
1	2800001	2850000	50000	*	-0.602767069865823
1	2850001	2900000	50000	*	-0.379710416494425
1	2900001	2950000	50000	*	-0.469999753524668
1	2950001	3000000	50000	*	-0.304842138487555
1	3000001	3050000	50000	*	-0.105289970275992
1	3050001	3100000	50000	*	-0.0239542609541449
1	3100001	3150000	50000	*	-0.00279928292847848
1	3150001	3200000	50000	*	-0.344142394835185
1	3200001	3250000	50000	*	-0.120095951901811
1	3250001	3300000	50000	*	-0.126447098757669
1	3300001	3350000	50000	*	-0.172170119389986
1	3350001	3400000	50000	*	-0.467314432998462
1	3400001	3450000	50000	*	-0.180390098752539
1	3450001	3500000	50000	*	0.000606917022239924
1	3500001	3550000	50000	*	-0.0456983905992057
1	3550001	3600000	50000	*	-0.147376439667928
1	3600001	3650000	50000	*	NA
1	3650001	3700000	50000	*	-0.088267843912766
1	3700001	3750000	50000	*	0.0197109101411442
1	3750001	3800000	50000	*	0.0933255634404593
1	4000001	4050000	50000	*	-0.766272973843893
1	4050001	4100000	50000	*	-0.794252093723747
1	4100001	4150000	50000	*	-0.756058126890151
1	4150001	4200000	50000	*	-0.674183544674938
1	4200001	4250000	50000	*	-0.840263087088077
1	4250001	4300000	50000	*	-0.55063599363889
1	4300001	4350000	50000	*	-0.570084548066112
1	4350001	4400000	50000	*	-0.692121935828878
1	4400001	4450000	50000	*	-0.806937771844966
1	4450001	4500000	50000	*	-0.526448920911064
1	4500001	4550000	50000	*	-0.66182316698988
1	4550001	4600000	50000	*	-0.347978609161964
1	4600001	4650000	50000	*	-0.521583693787183
1	4650001	4700000	50000	*	-0.74177312726769
1	4700001	4750000	50000	*	-0.457215818531037
1	4750001	4800000	50000	*	-0.367886311344613
1	4800001	4850000	50000	*	-0.384912998933985
1	4850001	4900000	50000	*	-0.282087015829136
1	4900001	4950000	50000	*	-0.213268597203282
1	4950001	5000000	50000	*	-0.485682370295387
1	5000001	5050000	50000	*	-0.449523534592374
1	5050001	5100000	50000	*	-0.399169718822135
1	5100001	5150000	50000	*	-0.237557813421288
1	5150001	5200000	50000	*	-0.431200159472776
1	5200001	5250000	50000	*	-0.559688221904752
1	5250001	5300000	50000	*	-0.403228914234304
1	5300001	5350000	50000	*	-0.654628094997892
1	5350001	5400000	50000	*	-0.461594769023373
1	5400001	5450000	50000	*	-0.580859478729218
1	5450001	5500000	50000	*	-0.652914758138179
1	5500001	5550000	50000	*	-0.63054688913901
1	5550001	5600000	50000	*	-0.422727558473363
1	5600001	5650000	50000	*	-0.573411138930564
1	5650001	5700000	50000	*	-0.53119555040741
1	5700001	5750000	50000	*	-0.324447804235992
1	5750001	5800000	50000	*	-0.670627095477462
1	5800001	5850000	50000	*	-0.496677710808477
1	5850001	5900000	50000	*	-0.566176689276922
1	5900001	5950000	50000	*	-0.602063086760143
1	5950001	6000000	50000	*	-0.197552208934593
1	6000001	6050000	50000	*	-0.120778472130387
1	6050001	6100000	50000	*	-0.402034808327857
1	6100001	6150000	50000	*	-0.403206162287185
1	6150001	6200000	50000	*	-0.520220414913752
1	6200001	6250000	50000	*	-0.404397325020212
1	6250001	6300000	50000	*	0.0368964978224615
1	6300001	6350000	50000	*	0.185196351920669
1	6350001	6400000	50000	*	0.00693404111430448
1	6400001	6450000	50000	*	0.230619339657942
1	6450001	6500000	50000	*	0.0144559983867529
1	6500001	6550000	50000	*	-0.0226327633282788
1	6550001	6600000	50000	*	-0.0091461963170774
1	6600001	6650000	50000	*	0.156800481543349
1	6650001	6700000	50000	*	0.5046469995358
1	6700001	6750000	50000	*	0.122261280724352
1	6750001	6800000	50000	*	0.154962881782853
1	6800001	6850000	50000	*	0.159336638068029
1	6850001	6900000	50000	*	0.355632223833585
1	6900001	6950000	50000	*	0.167838744268372
1	6950001	7000000	50000	*	-0.0450715489282429
1	7000001	7050000	50000	*	-0.215649385881426
1	7050001	7100000	50000	*	-0.241889905808552
1	7100001	7150000	50000	*	-0.385917473491757
1	7150001	7200000	50000	*	-0.369442151563909
1	7200001	7250000	50000	*	-0.368017916718015
1	7250001	7300000	50000	*	-0.320213505084022
1	7300001	7350000	50000	*	-0.0539776867335735
1	7350001	7400000	50000	*	-0.0988474572542311
1	7400001	7450000	50000	*	-0.0735123984803861
1	7500001	7550000	50000	*	0.0313512316708646
1	7550001	7600000	50000	*	-0.0498890988994106
1	7600001	7650000	50000	*	-0.0777424400093905
1	7700001	7750000	50000	*	-0.0736671788103461
1	7750001	7800000	50000	*	-0.02043432182877
1	7800001	7850000	50000	*	0.368626945392245
1	7850001	7900000	50000	*	0.201265360556706
1	7900001	7950000	50000	*	-0.104410095688746
1	7950001	8000000	50000	*	-0.0318900709954648
1	8000001	8050000	50000	*	0.453582741716727
1	8050001	8100000	50000	*	0.701605776748527
1	8100001	8150000	50000	*	0.535154150306735
1	8150001	8200000	50000	*	0.745979351789308
1	8200001	8250000	50000	*	0.569502554601562
1	8250001	8300000	50000	*	0.421157607654824
1	8300001	8350000	50000	*	0.337782470178746
1	8350001	8400000	50000	*	0.360267002473963
1	8400001	8450000	50000	*	0.376594200222087
1	8450001	8500000	50000	*	0.631651051645078
1	8500001	8550000	50000	*	0.403905867249199
1	8550001	8600000	50000	*	0.517384514987373
1	8600001	8650000	50000	*	0.592175817522708
