seqnames	start	end	width	strand	Median
1	1000001	2000000	1000000	*	NA
1	2000001	3000000	1000000	*	NA
1	4000001	5000000	1000000	*	-0.108704612200237
1	5000001	6000000	1000000	*	-0.0774781762427894
1	6000001	7000000	1000000	*	0.0169005674831972
1	7000001	8000000	1000000	*	-0.0590027437149474
1	8000001	9000000	1000000	*	0.135675292673477
1	9000001	10000000	1000000	*	0.0953020047177784
1	10000001	11000000	1000000	*	0.0222397678717991
1	11000001	12000000	1000000	*	0.00488455679924526
1	12000001	13000000	1000000	*	0.0200061040715102
1	14000001	15000000	1000000	*	-0.041847807036049
1	15000001	16000000	1000000	*	0.020681700705107
1	16000001	17000000	1000000	*	0.339870142294728
1	18000001	19000000	1000000	*	-0.0602506916903255
1	19000001	20000000	1000000	*	0.0155926998328563
1	20000001	21000000	1000000	*	-0.0104845243856961
1	21000001	22000000	1000000	*	0.0424506627163864
1	22000001	23000000	1000000	*	-0.0448906999526284
1	23000001	24000000	1000000	*	0.0313789915493559
1	24000001	25000000	1000000	*	-0.0966644610649055
1	25000001	26000000	1000000	*	-0.0605134267779766
1	26000001	27000000	1000000	*	0.0588145417126218
1	27000001	28000000	1000000	*	0.0738583390648156
1	28000001	29000000	1000000	*	0.131897315690743
1	30000001	31000000	1000000	*	NA
1	31000001	32000000	1000000	*	-0.00586545476700097
1	32000001	33000000	1000000	*	0.0837601623337178
1	33000001	34000000	1000000	*	0.0218257693696485
1	34000001	35000000	1000000	*	-0.139321338919454
1	35000001	36000000	1000000	*	0.0740188258568409
1	36000001	37000000	1000000	*	0.0598454084969389
1	37000001	38000000	1000000	*	-0.125751065740195
1	38000001	39000000	1000000	*	-0.0312635847282677
1	39000001	40000000	1000000	*	0.0533404203762952
1	40000001	41000000	1000000	*	0.0692728099547516
1	41000001	42000000	1000000	*	-0.0308413097201992
1	42000001	43000000	1000000	*	-0.0549749798866023
1	43000001	44000000	1000000	*	0.0258508733831265
1	44000001	45000000	1000000	*	0.0175184720777241
1	45000001	46000000	1000000	*	0.0810128734699335
1	46000001	47000000	1000000	*	0.0399053442395801
1	47000001	48000000	1000000	*	-0.0331471579546538
1	48000001	49000000	1000000	*	-0.0697279387308312
1	49000001	50000000	1000000	*	-0.164244493917322
1	50000001	51000000	1000000	*	-0.0682982580323587
1	51000001	52000000	1000000	*	0.134144264618755
1	52000001	53000000	1000000	*	0.107908759065185
1	53000001	54000000	1000000	*	0.0384886652008777
1	54000001	55000000	1000000	*	0.00797303470586525
1	55000001	56000000	1000000	*	-0.0734844736729771
1	56000001	57000000	1000000	*	-0.128340990503323
1	57000001	58000000	1000000	*	-0.10272078675481
1	58000001	59000000	1000000	*	-0.211190559051417
1	59000001	60000000	1000000	*	-0.0881775877464271
1	60000001	61000000	1000000	*	-0.0676383553306521
1	61000001	62000000	1000000	*	-0.0279096158845261
1	62000001	63000000	1000000	*	0.108191667122964
1	63000001	64000000	1000000	*	0.0667159779016541
1	64000001	65000000	1000000	*	-0.067236903579177
1	65000001	66000000	1000000	*	0.0124132294927304
1	66000001	67000000	1000000	*	-0.0627824399508917
1	67000001	68000000	1000000	*	0.0626550200626105
1	68000001	69000000	1000000	*	-0.0376606807139574
1	69000001	70000000	1000000	*	-0.0324685162796553
1	70000001	71000000	1000000	*	0.0960464451892052
1	71000001	72000000	1000000	*	-0.0371593306326806
1	72000001	73000000	1000000	*	-0.072300966329605
1	73000001	74000000	1000000	*	-0.0540374010079277
1	74000001	75000000	1000000	*	-0.114326420660319
1	75000001	76000000	1000000	*	-0.0767990118237818
1	76000001	77000000	1000000	*	-0.0303541367685177
1	77000001	78000000	1000000	*	-0.049027548121093
1	78000001	79000000	1000000	*	0.0499107022639838
1	79000001	80000000	1000000	*	-0.0137753535709869
1	80000001	81000000	1000000	*	0.0233058778193684
1	81000001	82000000	1000000	*	0.0247571087877944
1	82000001	83000000	1000000	*	0.0269548721651926
1	84000001	85000000	1000000	*	-0.0287013789193614
1	85000001	86000000	1000000	*	0.0686759301181603
1	86000001	87000000	1000000	*	0.0567719181357894
1	87000001	88000000	1000000	*	0.0285184783786321
1	88000001	89000000	1000000	*	-0.00868588275647711
1	89000001	90000000	1000000	*	0.0817408234562825
1	90000001	91000000	1000000	*	-0.0312678826755755
1	91000001	92000000	1000000	*	0.0371282815890898
1	92000001	93000000	1000000	*	0.0637981828514264
1	93000001	94000000	1000000	*	0.1797569920395
1	94000001	95000000	1000000	*	-0.0144046060582327
1	95000001	96000000	1000000	*	-0.0475967536108602
1	96000001	97000000	1000000	*	-0.0301216757449156
1	97000001	98000000	1000000	*	-0.0120969819771029
1	98000001	99000000	1000000	*	-0.0169516481823879
1	99000001	100000000	1000000	*	-0.0156354975985009
1	100000001	101000000	1000000	*	0.105410636590527
1	101000001	102000000	1000000	*	-0.0266311101881925
1	102000001	103000000	1000000	*	-0.0475390012555147
1	105000001	106000000	1000000	*	-0.0108071479626638
1	106000001	107000000	1000000	*	0.0207530335418864
1	107000001	108000000	1000000	*	-0.0589673213985423
1	109000001	110000000	1000000	*	0.0752645277582261
1	110000001	111000000	1000000	*	-0.0458876024711989
1	111000001	112000000	1000000	*	-0.0329376779223274
1	112000001	113000000	1000000	*	-0.0778991390051804
1	113000001	114000000	1000000	*	0.105126812096959
1	114000001	115000000	1000000	*	0.00165209884835098
1	115000001	116000000	1000000	*	0.0518904820499327
1	116000001	117000000	1000000	*	-0.0587638326173286
1	117000001	118000000	1000000	*	-0.0175552036155469
1	118000001	119000000	1000000	*	-0.0815977620591591
1	119000001	120000000	1000000	*	-0.0852170663844418
1	150000001	151000000	1000000	*	0.127066517779537
1	151000001	152000000	1000000	*	0.079401085651715
1	152000001	153000000	1000000	*	-0.10656951421473
1	153000001	154000000	1000000	*	0.00626291386833308
1	154000001	155000000	1000000	*	0.0574778212326187
1	155000001	156000000	1000000	*	0.0789861882232577
1	156000001	157000000	1000000	*	-0.000357341361866903
1	157000001	158000000	1000000	*	-0.073658428830453
1	158000001	159000000	1000000	*	-0.000503942784344289
1	159000001	160000000	1000000	*	-0.0723104479239062
1	160000001	161000000	1000000	*	-0.0476085570769149
1	162000001	163000000	1000000	*	-0.0276294204321257
1	163000001	164000000	1000000	*	-0.0539081728423011
1	164000001	165000000	1000000	*	-0.0530544391947142
1	165000001	166000000	1000000	*	-0.0693516477987162
1	166000001	167000000	1000000	*	-0.0975801416829003
1	167000001	168000000	1000000	*	0.0580222588392076
1	168000001	169000000	1000000	*	-0.0299834518865344
1	169000001	170000000	1000000	*	0.034440931593192
1	170000001	171000000	1000000	*	-0.0327469937460173
1	171000001	172000000	1000000	*	0.00940982377817082
1	172000001	173000000	1000000	*	-0.0788505856681016
1	173000001	174000000	1000000	*	0.0247001676265017
1	174000001	175000000	1000000	*	0.109201008835748
1	175000001	176000000	1000000	*	-0.128668941372633
1	176000001	177000000	1000000	*	-0.0889290924148716
1	177000001	178000000	1000000	*	-0.114296276523321
1	178000001	179000000	1000000	*	0.0420662202242556
1	179000001	180000000	1000000	*	0.112444372596664
1	180000001	181000000	1000000	*	0.0350391471809863
1	181000001	182000000	1000000	*	-0.0716332312613505
1	182000001	183000000	1000000	*	0.0358307727325967
1	183000001	184000000	1000000	*	-0.0388587051796515
1	184000001	185000000	1000000	*	-0.0172874185227336
1	185000001	186000000	1000000	*	0.056031959804214
1	186000001	187000000	1000000	*	0.054028556267162
1	187000001	188000000	1000000	*	0.0326812914107793
1	188000001	189000000	1000000	*	0.0270586898554005
1	189000001	190000000	1000000	*	NA
1	190000001	191000000	1000000	*	NA
1	191000001	192000000	1000000	*	0.0695419650301976
1	192000001	193000000	1000000	*	0.00854763907090652
1	193000001	194000000	1000000	*	0.0819404302512229
1	194000001	195000000	1000000	*	0.0942792082106323
1	195000001	196000000	1000000	*	0.00909381167418167
1	196000001	197000000	1000000	*	-0.0223268756630182
1	197000001	198000000	1000000	*	0.07211467928195
1	198000001	199000000	1000000	*	-0.00586307377175969
1	199000001	200000000	1000000	*	0.00876195996246289
1	200000001	201000000	1000000	*	0.0779966583653182
1	201000001	202000000	1000000	*	-0.0298280890734647
1	202000001	203000000	1000000	*	0.0295653569006747
1	203000001	204000000	1000000	*	-0.0184336211034971
1	204000001	205000000	1000000	*	-0.0220947164085742
1	205000001	206000000	1000000	*	NA
1	207000001	208000000	1000000	*	-0.0414528669003385
1	208000001	209000000	1000000	*	-0.0753043080947071
1	209000001	210000000	1000000	*	-0.0852379318323287
1	210000001	211000000	1000000	*	-0.0458088484417922
1	211000001	212000000	1000000	*	0.0445692807584631
1	212000001	213000000	1000000	*	0.0732914097921937
1	213000001	214000000	1000000	*	-0.0829383486717512
1	214000001	215000000	1000000	*	-0.00751559503388456
1	215000001	216000000	1000000	*	-0.0058213347118964
1	216000001	217000000	1000000	*	-0.0545944723100074
1	217000001	218000000	1000000	*	0.0461485206921562
1	218000001	219000000	1000000	*	0.0497376616500983
1	219000001	220000000	1000000	*	-0.0380084338335745
1	220000001	221000000	1000000	*	0.044464287093408
1	221000001	222000000	1000000	*	-0.0406165576341282
1	222000001	223000000	1000000	*	-0.0515924652051336
1	225000001	226000000	1000000	*	0.070793798523346
1	226000001	227000000	1000000	*	0.0573778990282937
1	227000001	228000000	1000000	*	0.00559865537021305
1	228000001	229000000	1000000	*	-0.0767451899845995
1	229000001	230000000	1000000	*	-0.00755505297384168
1	230000001	231000000	1000000	*	-0.0624525151899756
1	231000001	232000000	1000000	*	0.0595462130787878
1	232000001	233000000	1000000	*	-0.0333632619115577
1	233000001	234000000	1000000	*	-0.00559460188693078
1	234000001	235000000	1000000	*	-0.00115561549479859
1	235000001	236000000	1000000	*	NA
1	236000001	237000000	1000000	*	0.0754661200507553
1	237000001	238000000	1000000	*	0.0418320470314101
1	238000001	239000000	1000000	*	0.0696108608609442
1	239000001	240000000	1000000	*	0.0413597955434238
1	240000001	241000000	1000000	*	0.111682440763041
1	241000001	242000000	1000000	*	0.0200215463232374
1	242000001	243000000	1000000	*	0.0246008310854265
1	244000001	245000000	1000000	*	0.0841251451503225
1	245000001	246000000	1000000	*	0.0704032057579095
1	246000001	247000000	1000000	*	0.0834232156120956
1	247000001	248000000	1000000	*	0.0677658067423096
2	1	1000000	1000000	*	NA
2	1000001	2000000	1000000	*	-0.010884295191915
2	2000001	3000000	1000000	*	-0.0889256772771551
2	3000001	4000000	1000000	*	NA
2	4000001	5000000	1000000	*	-0.0345744870709605
2	6000001	7000000	1000000	*	-0.0644110125166957
2	7000001	8000000	1000000	*	-0.0276814645307656
2	8000001	9000000	1000000	*	-0.0114620071505422
2	9000001	10000000	1000000	*	0.0365097235040442
2	10000001	11000000	1000000	*	0.0310004712768234
2	11000001	12000000	1000000	*	0.0412292441667498
2	12000001	13000000	1000000	*	-0.0801199820964159
2	13000001	14000000	1000000	*	-0.0191613628700094
2	14000001	15000000	1000000	*	-0.040250915530712
2	15000001	16000000	1000000	*	-0.0277173838331438
2	16000001	17000000	1000000	*	NA
2	17000001	18000000	1000000	*	-0.0445851593587247
2	18000001	19000000	1000000	*	-0.0999232146602562
2	19000001	20000000	1000000	*	-0.148056077794663
2	20000001	21000000	1000000	*	-0.0203577239489269
2	21000001	22000000	1000000	*	NA
2	22000001	23000000	1000000	*	-0.0856536506565792
2	23000001	24000000	1000000	*	-0.0934080602599457
2	24000001	25000000	1000000	*	0.11511414682611
2	25000001	26000000	1000000	*	0.0405625508602806
2	26000001	27000000	1000000	*	0.0473459520221279
2	27000001	28000000	1000000	*	0.0672376030653902
2	28000001	29000000	1000000	*	-0.024644785476903
2	29000001	30000000	1000000	*	-0.0491582977017649
2	30000001	31000000	1000000	*	-0.0607256941421458
2	31000001	32000000	1000000	*	NA
2	32000001	33000000	1000000	*	0.22050673686344
2	33000001	34000000	1000000	*	NA
2	34000001	35000000	1000000	*	0.0572784492593337
2	35000001	36000000	1000000	*	-0.0214958437990481
2	36000001	37000000	1000000	*	0.00161408934552682
2	37000001	38000000	1000000	*	0.104765844252545
2	38000001	39000000	1000000	*	0.0907175264583535
2	39000001	40000000	1000000	*	0.115409441424987
2	40000001	41000000	1000000	*	-0.0928571852676153
2	41000001	42000000	1000000	*	-0.0505866896556469
2	42000001	43000000	1000000	*	0.0637161191834882
2	43000001	44000000	1000000	*	0.013575975006898
2	44000001	45000000	1000000	*	0.0913203551826567
2	45000001	46000000	1000000	*	-0.0866440860605426
2	46000001	47000000	1000000	*	-0.0173419351042257
2	47000001	48000000	1000000	*	0.02118349629169
2	48000001	49000000	1000000	*	0.0565589144961325
2	49000001	50000000	1000000	*	-0.105955632595092
2	50000001	51000000	1000000	*	0.00506473951712913
2	51000001	52000000	1000000	*	-0.0295637367026322
2	52000001	53000000	1000000	*	0.0223679076349359
2	53000001	54000000	1000000	*	-0.0399260580011418
2	54000001	55000000	1000000	*	0.0644158482114395
2	55000001	56000000	1000000	*	0.12888019284803
2	56000001	57000000	1000000	*	-0.0628111803836652
2	57000001	58000000	1000000	*	-0.0769575185049997
2	58000001	59000000	1000000	*	0.0624657746240377
2	59000001	60000000	1000000	*	-0.122299845189568
2	60000001	61000000	1000000	*	-0.0792862717172881
2	61000001	62000000	1000000	*	0.17208504947848
2	62000001	63000000	1000000	*	0.0566994170729199
2	63000001	64000000	1000000	*	0.0883187904553667
2	64000001	65000000	1000000	*	0.0803530511957933
2	65000001	66000000	1000000	*	0.0718540651994924
2	66000001	67000000	1000000	*	-0.0567719996347028
2	67000001	68000000	1000000	*	-0.10303013281903
2	68000001	69000000	1000000	*	-0.00815667539445673
2	69000001	70000000	1000000	*	0.0280803206837886
2	70000001	71000000	1000000	*	0.0450783297538217
2	71000001	72000000	1000000	*	0.013574261752554
2	72000001	73000000	1000000	*	-0.0639688596710943
2	73000001	74000000	1000000	*	-0.0177320354672318
2	74000001	75000000	1000000	*	0.000288179666943415
2	75000001	76000000	1000000	*	-0.0463938040847971
2	76000001	77000000	1000000	*	-0.0174872747336346
2	77000001	78000000	1000000	*	-0.00777000080282386
2	78000001	79000000	1000000	*	0.0039846850458594
2	79000001	80000000	1000000	*	-0.0590970954485915
2	80000001	81000000	1000000	*	-0.0701784366558511
2	81000001	82000000	1000000	*	-0.00864452251125198
2	82000001	83000000	1000000	*	0.0056521023103034
2	83000001	84000000	1000000	*	0.0245456547254749
2	84000001	85000000	1000000	*	-0.0639278843070919
2	85000001	86000000	1000000	*	0.0271793502738242
2	86000001	87000000	1000000	*	0.0267902510081416
2	99000001	100000000	1000000	*	0.102376285117215
2	100000001	101000000	1000000	*	-0.00765112667601336
2	101000001	102000000	1000000	*	0.0492432521762977
2	102000001	103000000	1000000	*	0.0115737380237431
2	103000001	104000000	1000000	*	-0.0422401385777696
2	104000001	105000000	1000000	*	0.0395464907944181
2	105000001	106000000	1000000	*	-0.00419501173246648
2	106000001	107000000	1000000	*	0.00791726895877145
2	107000001	108000000	1000000	*	-0.0857348609734812
2	108000001	109000000	1000000	*	-0.028536834399576
2	109000001	110000000	1000000	*	0.0674994969542084
2	113000001	114000000	1000000	*	0.0150415768373277
2	115000001	116000000	1000000	*	-0.0190464803038406
2	116000001	117000000	1000000	*	0.0161455598870567
2	117000001	118000000	1000000	*	-0.0689082308717434
2	118000001	119000000	1000000	*	-0.0948827695510336
2	119000001	120000000	1000000	*	-0.118349550935145
2	120000001	121000000	1000000	*	0.0354250601295387
2	121000001	122000000	1000000	*	-0.0088361484678687
2	122000001	123000000	1000000	*	-0.0225919279959845
2	123000001	124000000	1000000	*	-0.0491527157710263
2	124000001	125000000	1000000	*	-0.0313541833233754
2	125000001	126000000	1000000	*	-0.110953145390263
2	126000001	127000000	1000000	*	-0.0464948740799473
2	127000001	128000000	1000000	*	-0.0509795622317283
